lon,lat
-0.3808319,43.3120038
-0.3746697,43.2983863
-0.3637527,43.3079512
-0.363806,43.3077921
-0.3636292,43.3083748
-0.4131951,43.3118105
-0.372043,43.2950863
-0.3732596,43.2949143
-0.3669487,43.2969903
-0.3671343,43.2968679
-0.3671098,43.2966478
-0.3672919,43.2967685
-0.3671915,43.2966079
-0.3673725,43.2965059
-0.3676457,43.2966104
-0.3678792,43.2965416
-0.3680193,43.2965051
-0.4301846,43.3150463
-0.3796759,43.3567855
-0.3669772,43.2976496
-0.3671124,43.297552
-0.3670752,43.2975215
-0.3681706,43.3042494
-0.3685182,43.3033419
-0.371718,43.2955638
-0.368864,43.2993817
-0.3688518,43.2993521
-0.3688044,43.2993891
-0.3687949,43.2993389
-0.3687054,43.2994054
-0.3098487,43.3022723
-0.3479401,43.3104793
-0.3524681,43.307274
-0.4012161,43.3043431
-0.7747995,43.4897963
-0.7733012,43.4903971
-0.7263032,43.493206
-0.6959243,43.4868888
-0.3068498,43.301532
-0.4090339,43.3084587
-0.3720816,43.2936768
-0.3721539,43.2949774
-0.3712983,43.2944948
-0.3715902,43.2946329
-0.3701947,43.2996293
-0.3667852,43.3002618
-0.3740608,43.2962137
-0.3701982,43.2999274
-0.3703448,43.2996759
-0.3795843,43.3000299
-0.3816841,43.2991111
-0.3816895,43.2989882
-0.3770222,43.3046421
-0.3777853,43.3038311
-0.3779905,43.3035969
-0.3692471,43.3013598
-0.3778393,43.3152587
-0.3774364,43.3131797
-0.3774009,43.312938
-0.3773556,43.3127153
-0.3564126,43.3090041
-0.3747776,43.2960728
-0.3483899,43.3193479
-0.3713876,43.2994713
-0.3789838,43.2916566
-0.369014,43.3228956
-0.1987057,43.2715885
-0.3805144,43.3390176
-0.3648599,43.2989138
-0.3691481,43.2944742
-0.368834,43.2974098
3.1139891,42.3144039
-0.3662129,43.2959911
-0.3735757,43.297312
-0.3755112,43.301445
-0.374014,43.2960135
-0.3816442,43.3383326
-0.3813014,43.338282
-0.3808999,43.3382195
-0.3807151,43.3381898
-0.3805314,43.33814
-0.3803964,43.3380495
-0.3766656,43.3071271
-0.3561929,43.3116048
-0.3565123,43.3085636
-0.3566398,43.3085774
-0.356929,43.3061533
-0.3785422,43.3174259
-0.3785628,43.3175452
-0.3782339,43.3175025
-0.3692852,43.3229578
-0.3683105,43.2995512
-0.3687285,43.2993541
-0.3746928,43.2984355
-0.3529462,43.3114139
-0.3230038,43.3183762
-0.4474798,43.3304231
-0.4216361,43.3072851
-0.3072735,43.3016584
-0.3559635,43.3115478
-0.2958977,43.2426874
-0.3203178,43.3036044
-0.3778919,43.3033881
-0.3679965,43.2988864
-0.3687209,43.2976313
-0.3778099,43.3032583
-0.3682755,43.2976889
-0.330833,43.3074121
-0.3652574,43.3003101
-0.3205444,43.3025593
-0.3197921,43.3042013
-0.3674243,43.3017369
-0.3702591,43.2994839
-0.3696072,43.2989476
-0.3694644,43.2989651
-0.3683284,43.2996184
-0.3682969,43.2994903
