Code commune;Libellé commune;Libellé région;Libellé typologie;Population municipale 2016
01093;Châtillon-sur-Chalaronne;Auvergne-Rhône-Alpes;Communes peu denses;4 886
01094;Chavannes-sur-Reyssouze;Auvergne-Rhône-Alpes;Communes peu denses;750
01095;Nivigne et Suran;Auvergne-Rhône-Alpes;Communes très peu denses;805
01096;Chaveyriat;Auvergne-Rhône-Alpes;Communes peu denses;1 006
01098;Chazey-Bons;Auvergne-Rhône-Alpes;Communes peu denses;1 079
01099;Chazey-sur-Ain;Auvergne-Rhône-Alpes;Communes peu denses;1 513
01100;Cheignieu-la-Balme;Auvergne-Rhône-Alpes;Communes très peu denses;136
01101;Chevillard;Auvergne-Rhône-Alpes;Communes très peu denses;153
01102;Chevroux;Auvergne-Rhône-Alpes;Communes peu denses;957
01103;Chevry;Auvergne-Rhône-Alpes;Communes de densité intermédiaire;1 643
01104;Chézery-Forens;Auvergne-Rhône-Alpes;Communes peu denses;460
01105;Civrieux;Auvergne-Rhône-Alpes;Communes peu denses;1 606
01106;Cize;Auvergne-Rhône-Alpes;Communes très peu denses;170
01107;Cleyzieu;Auvergne-Rhône-Alpes;Communes très peu denses;135
01108;Coligny;Auvergne-Rhône-Alpes;Communes peu denses;1 187
01109;Collonges;Auvergne-Rhône-Alpes;Communes peu denses;2 223
01110;Colomieu;Auvergne-Rhône-Alpes;Communes très peu denses;131
01111;Conand;Auvergne-Rhône-Alpes;Communes très peu denses;120
01112;Condamine;Auvergne-Rhône-Alpes;Communes peu denses;414
01113;Condeissiat;Auvergne-Rhône-Alpes;Communes peu denses;825
01114;Confort;Auvergne-Rhône-Alpes;Communes peu denses;620
01115;Confrançon;Auvergne-Rhône-Alpes;Communes peu denses;1 331
01116;Contrevoz;Auvergne-Rhône-Alpes;Communes peu denses;500
01117;Conzieu;Auvergne-Rhône-Alpes;Communes très peu denses;146
01118;Corbonod;Auvergne-Rhône-Alpes;Communes peu denses;1 255
01121;Corlier;Auvergne-Rhône-Alpes;Communes très peu denses;113
01123;Cormoranche-sur-Saône;Auvergne-Rhône-Alpes;Communes peu denses;1 118
01124;Cormoz;Auvergne-Rhône-Alpes;Communes peu denses;662
01125;Corveissiat;Auvergne-Rhône-Alpes;Communes peu denses;625
01127;Courmangoux;Auvergne-Rhône-Alpes;Communes peu denses;505
