L'Abergement-Clémenciat,4.920884878012293,46.150777667358234,N
L'Abergement-de-Varey,5.423334631389669,46.007211463416795,N
Ambérieu-en-Bugey,5.359557431156199,45.95838698814822,N
Ambérieux-en-Dombes,4.903018696664838,45.99587888864709,N
Ambléon,5.601074095699519,45.74774254872538,N
Ambronay,5.36113230983689,46.00775923757502,N
Ambutrix,5.3368432852868235,45.93876844805065,N
Andert-et-Condon,5.655499373596189,45.79410055339579,N
Anglefort,5.809416637504278,45.913971772279666,N
Apremont,5.658622401906668,46.207514372138284,N
Aranc,5.507958136999505,46.003018059213275,N
Arandas,5.485839440274841,45.89662723528501,N
Arbent,5.681907622885543,46.295364470678294,N
Arboys en Bugey,5.6502441830730605,45.728622588150266,N
Arbigny,4.970760563440447,46.46985286497729,N
Argis,5.489441236420124,45.93409016661166,N
Armix,5.585974784705192,45.848863731012074,N
Ars-sur-Formans,4.8220661439470165,45.993192706834016,N
Artemare,5.693356512750354,45.87520467638287,N
Asnières-sur-Saône,4.883025258584683,46.38295413752233,N
Attignat,5.1586002958224,46.289459678479375,N
Bâgé-Dommartin,4.9467422789248285,46.31665274174618,N
Bâgé-le-Châtel,4.92889041797862,46.30771474194831,N
Balan,5.0968066713404445,45.83313096011775,N
Baneins,4.90131610844543,46.110798386896,N
Beaupont,5.264695607628231,46.410237628598125,N
Beauregard,4.751187002219451,46.003011587858644,N
Bellignat,5.629155904420151,46.24196838428638,N
Béligneux,5.128801655580858,45.85210717456152,N
Valserhône,5.826192194553472,46.10761690593189,N
Belley,5.686330310230521,45.7609163617737,N
Belleydoux,5.777278546942478,46.2528651036445,N
Valromey-sur-Séran,5.664047983356329,45.88211635844632,N
Bénonces,5.477797081301319,45.826801100908355,N
Bény,5.284060944558369,46.320866259922056,N
Béon,5.750492902935251,45.85460922990137,N
Béréziat,5.0460723770510425,46.366967914021124,N
Bettant,5.36269638216971,45.94333960541712,N
Bey,4.845870354208823,46.21972030042903,N
Beynost,5.001360191530529,45.84031243457704,N
Billiat,5.784179983167589,46.07797471324317,N
Birieux,5.038727685173046,45.95312599041661,N
Biziat,4.943692817572572,46.216928633138394,N
Blyes,5.249514892155911,45.84605638192451,N
La Boisse,5.032369173994168,45.84173145786795,N
Boissey,4.996951554968717,46.3812058327836,N
Bolozon,5.473068004903018,46.19201664527094,N
Bouligneux,4.991054256895028,46.02222668482937,N
Bourg-en-Bresse,5.2246981110100155,46.2052744712183,Y
Bourg-Saint-Christophe,5.157787483931698,45.88984246126698,N
Boyeux-Saint-Jérôme,5.458997011725345,46.02986709403585,N
Boz,4.910522749033275,46.40703276670979,N
Brégnier-Cordon,5.619205160176708,45.648332067553355,N
Brénod,5.605799564136598,46.05947233792866,N
Brens,5.695598538856452,45.71843771450942,N
Bressolles,5.096273594263087,45.86693020740891,N
Brion,5.553335250623624,46.17093432790018,N
Briord,5.459213531534416,45.78253940881393,N
Buellas,5.134839368143812,46.20932125768533,N
La Burbanche,5.561295723671499,45.845750105134975,N
Ceignes,5.500158584695593,46.12041205850158,N
Cerdon,5.46497207648829,46.08063081340134,N
Certines,5.264469779925974,46.132204624187665,N
Cessy,6.069890538089105,46.31694254606646,N
Ceyzériat,5.322489802397935,46.179256553468576,N
Ceyzérieu,5.726300300297535,45.835264962262144,N
Chalamont,5.170138092136274,45.99614754396509,N
Chaleins,4.804745641274596,46.03050790875382,N
Chaley,5.5304487206442365,45.955136623112196,N
Challes-la-Montagne,5.462959018012344,46.1249551165215,N
Challex,5.972163828412696,46.18119484346492,N
Champagne-en-Valromey,5.678858654793413,45.904958290863796,N
Champdor-Corcelles,5.597067683596513,46.01766004382787,N
Champfromier,5.816787941916539,46.19398303709393,N
Chanay,5.785022247942779,46.00546443001966,N
Chaneins,4.85104112067296,46.0973526893798,N
Chanoz-Châtenay,5.029859482470698,46.184103164185636,N
La Chapelle-du-Châtelard,5.023830843686788,46.07030658457776,N
Charix,5.685084335032094,46.182637430256584,N
Charnoz-sur-Ain,5.2224421541819215,45.86421288599487,N
Château-Gaillard,5.305006782945814,45.97344761363185,N
Châtenay,5.200555402900084,46.03374735072023,N
Châtillon-la-Palud,5.25449458079002,45.972644993377,N
Châtillon-sur-Chalaronne,4.957691456311407,46.119505282945134,N
Chavannes-sur-Reyssouze,4.997059121452553,46.431150594262206,N
Nivigne et Suran,5.426567648215015,46.2642535523176,N
Chaveyriat,5.061277791703439,46.19811250752238,N
Chazey-Bons,5.6828427758497675,45.80441002466757,N
Chazey-sur-Ain,5.255054694800242,45.89265548393113,N
Cheignieu-la-Balme,5.609705319718671,45.82641502757919,N
Chevillard,5.580470445959955,46.11042489923895,N
Chevroux,4.9479336929146145,46.38077435030578,N
Chevry,6.036380752647168,46.28003787319929,N
Chézery-Forens,5.867566590924469,46.22238566566141,N
Civrieux,4.88251306418772,45.920459567923245,N
Cize,5.4468421051441664,46.20578265436742,N
Cleyzieu,5.430889185806314,45.90812864304472,N
Coligny,5.345936221010006,46.38293099289591,N
Collonges,5.9039503488102385,46.138282335344556,N
Colomieu,5.62083114918094,45.732607986840264,N
Conand,5.473064809846397,45.892303630696084,N
Condamine,5.5507972747328855,46.10828471148619,N
Condeissiat,5.079888512367495,46.15696742494584,N
Confort,5.822904901387948,46.150760555662835,N
Confrançon,5.065644307747699,46.264763719489835,N
Contrevoz,5.628413008402204,45.80439334598092,N
Conzieu,5.607029508395711,45.72776545328755,N
Corbonod,5.810461183142505,45.96962252421603,N
Corlier,5.4987500654345425,46.030556172786845,N
